years,data
1970,35.67269
1971,32.48306
1972,43.63707
1973,77.8138
1974,262.52225
1975,363.09253
1976,381.98164
1977,489.30859
1978,501.10091
1979,892.64776
1980,959.10711
1981,1232.67759
1982,1267.1485
1983,875.04563
1984,768.17904
1985,686.34667
1986,247.53923
1987,341.55929
1988,268.47483
1989,400.64293
1990,493.37761
1991,519.59512
1992,357.52652
1993,253.10141
1994,264.68315
1995,272.62793
1996,261.21088
1997,391.21185
1998,400.73127
1999,208.80011
2000,531.53518
2001,461.99521
2002,228.55168
2003,599.5796
2004,689.59832
2005,1123.37026
2006,1285.05199
2007,1790.08039
2008,1623.08555
2009,1113.53561
