years,data
1960,203430.6251
1961,203739.4973
1962,208420.4335
1963,205907.1703
1964,211742.024
1965,217812.2602
1966,216194.2108
1967,231279.6855
1968,242763.0924
1969,261982.1525
1970,267542.2583
1971,253149.0744
1972,268372.9513
1973,282974.0216
1974,283950.2794
1975,274091.9197
1976,285278.9314
1977,311959.0283
1978,330507.0359
1979,336867.3437
1980,338952.6474
1981,320901.3242
1982,314447.1667
1983,316417.9343
1984,317640.5341
1985,326679.6236
1986,373629.3041
1987,365699.2347
1988,382146.998
1989,381945.6516
1990,381677.2825
1991,372403.0127
1992,365336.6213
1993,366083.0677
1994,373368.7654
1995,367958.1434
1996,373245.4591
1997,377656.7356
1998,371923.622
1999,374017.4209
2000,378498.0606
2001,389830.3719
2002,383697.571
2003,409539.9047
2004,420721.1982
2005,386676.8233
2006,396342.8917
2007,399685.0171
2008,398214.1088
2009,404250.207
