years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,1353.13898
1965,1464.92237
1966,1645.59249
1967,1370.53857
1968,1468.64005
1969,1609.53857
1970,1706.98749
1971,1705.95379
1972,1826.55478
1973,1847.41921
1974,1832.85997
1975,1575.72306
1976,1910.29348
1977,1991.8215
1978,2395.21072
1979,2425.47443
1980,2332.14546
1981,2012.42231
1982,1873.80665
1983,2201.68744
1984,2943.10619
1985,2262.98818
1986,1512.16339
1987,1685.81655
1988,1327.87841
1989,1249.42286
1990,1246.85656
1991,959.77018
1992,1140.60723
1993,1140.77897
1994,884.09225
1995,772.52169
1996,858.63842
1997,832.40291
1998,1235.66797
1999,1674.78015
2000,1121.65839
2001,1193.50157
2002,1556.99445
2003,1223.82589
2004,776.0633
2005,950.58777
2006,1350.12865
2007,1504.07649
2008,1636.07514
2009,889.9035
