years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,351.88234
1990,374.00931
1991,419.97697
1992,425.10877
1993,437.24704
1994,467.92243
1995,484.19659
1996,502.13777
1997,503.20753
1998,569.02238
1999,587.67341
2000,567.09942
2001,569.99894
2002,569.25039
2003,572.4262
2004,564.96829
2005,563.56815
2006,579.10502
2007,617.35487
2008,701.15288
2009,819.76122
