years,data
1970,10.17714
1971,10.22598
1972,10.09899
1973,10.13415
1974,12.97587
1975,12.65304
1976,13.13231
1977,13.84035
1978,13.62885
1979,15.94028
1980,17.43509
1981,17.60098
1982,16.46509
1983,15.99605
1984,15.47387
1985,13.94736
1986,11.61475
1987,11.65302
1988,11.15581
1989,10.88807
1990,11.41419
1991,10.99132
1992,10.42788
1993,10.13594
1994,9.92393
1995,9.22969
1996,10.10057
1997,9.43788
1998,7.99715
1999,8.00269
2000,9.85133
2001,9.42389
2002,8.49121
2003,9.76858
2004,10.50822
2005,11.80176
2006,12.87548
2007,12.63627
2008,14.21053
2009,10.09536
