years,data
1960,4432113.328
1961,4464360.784
1962,4658506.205
1963,4836948.144
1964,4949455.482
1965,5157923.988
1966,5467800.562
1967,5754378.95
1968,6131528.841
1969,6520279.712
1970,6780547.493
1971,7105345.262
1972,7470956.502
1973,8071731.447
1974,7921541.94
1975,7365152.28
1976,7676647.189
1977,8259467.198
1978,8684877.43
1979,8970135.764
1980,9025780.842
1981,8839047.74
1982,8253855.969
1983,8226481.27
1984,8756172.087
1985,8819169.003
1986,8707917.423
1987,8948633.349
1988,9519203.101
1989,9805590.62
1990,9930579.28
1991,9932504.906
1992,10074184.54
1993,10170248.46
1994,10438435.49
1995,10633558.09
1996,11481188.59
1997,11840664.35
1998,12024672.91
1999,11685946.38
2000,12054507.82
2001,11878791.7
2002,12108426.0
2003,11973318.94
2004,12054554.78
2005,11544250.53
2006,11988101.49
2007,12068167.2
2008,11761526.44
2009,11297402.85
