years,data
1970,1.29251984
1971,1.338923537
1972,1.416554805
1973,1.487476108
1974,2.276776813
1975,2.819475636
1976,3.165299145
1977,3.506203715
1978,3.707100744
1979,4.755989177
1980,6.051901244
1981,7.122539469
1982,7.590767451
1983,7.535602059
1984,7.479805115
1985,7.06930306
1986,5.778545823
1987,5.764935042
1988,5.59818211
1989,5.636965972
1990,6.463484009
1991,6.329738051
1992,6.271893622
1993,6.473363371
1994,6.630726266
1995,6.447518985
1996,7.049882145
1997,6.897463254
1998,6.132382897
1999,6.700013246
2000,8.696621536
2001,8.875710103
2002,7.946983262
2003,9.764046853
2004,11.39398029
2005,14.68860489
2006,16.66760318
2007,17.61111201
2008,21.5494996
2009,15.37924605
