years,data
1960,4130664.997
1961,4153941.789
1962,4307305.949
1963,4445665.871
1964,4527774.365
1965,4691709.475
1966,4948276.217
1967,5185610.525
1968,5499289.273
1969,5796727.822
1970,5990330.951
1971,6252807.545
1972,6526890.313
1973,7079660.463
1974,6882545.124
1975,6305369.135
1976,6561827.915
1977,7011772.844
1978,7331299.13
1979,7603971.472
1980,7555042.302
1981,7362696.997
1982,6752302.862
1983,6692376.157
1984,7135804.159
1985,7153667.604
1986,7075430.843
1987,7316940.846
1988,7824367.492
1989,7996581.107
1990,8071864.556
1991,8066078.455
1992,8228063.351
1993,8239540.368
1994,8468228.013
1995,8605777.474
1996,9334202.769
1997,9638593.139
1998,9681701.975
1999,9344667.144
2000,9598480.525
2001,9474498.555
2002,9682478.823
2003,9558005.266
2004,9648452.967
2005,9064230.974
2006,9474204.097
2007,9551847.566
2008,9226991.273
2009,8818204.643
