years,data
1960,9624.0
1961,9820.0
1962,10053.0
1963,10159.0
1964,10270.0
1965,10378.0
1966,10492.0
1967,10599.0
1968,10819.0
1969,11045.0
1970,11236.0
1971,11509.848
1972,11759.148
1973,12019.543
1974,12268.629
1975,12568.843
1976,12904.089
1977,13193.05
1978,13500.429
1979,13888.371
1980,14338.208
1981,14746.318
1982,15331.415
1983,15751.676
1984,16007.086
1985,16272.734
1986,16561.113
1987,16621.791
1988,16667.022
1989,16806.735
1990,17056.755
1991,17398.005
1992,17759.738
1993,18161.612
1994,18564.062
1995,18958.751
1996,19340.342
1997,19740.317
1998,20157.531
1999,20558.22
2000,20944.937
2001,21330.19
2002,21705.766
2003,22048.452
2004,22408.514
2005,22790.696
2006,23356.591
2007,23824.518
2008,24290.611
2009,24770.651
