years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,-13714.36494
1982,-15527.24831
1983,-9138.66462
1984,-15115.36337
1985,-15768.03142
1986,-16119.23068
1987,-16175.31739
1988,-12367.22433
1989,-16909.8763
1990,-16410.30182
1991,-20177.13571
1992,-15380.16274
1993,-17401.73772
1994,-12434.16044
1995,-14300.88223
1996,-5031.09603
1997,-4609.06445
1998,-13947.06466
1999,-12863.61547
2000,-17999.03738
2001,-3441.66861
2002,-6116.67346
2003,-2306.40202
2004,-3529.28914
2005,123.46102
2006,3080.96422
2007,2929.4675
2008,-2497.67429
2009,-3710.44311
