years,data
1960,23925.2
1961,25524.8
1962,26866.4
1963,26247.2
1964,28620.8
1965,30736.4
1966,33901.2
1967,34640.8
1968,40420.0
1969,42931.2
1970,44634.0
1971,43791.2
1972,51445.2
1973,52976.0
1974,51737.6
1975,47179.6
1976,55452.8
1977,60268.8
1978,66340.4
1979,67011.2
1980,41570.89287
1981,41622.85649
1982,39388.421
1983,43909.2556
1984,43623.45571
1985,42740.07423
1986,59170.73778
1987,57921.1694
1988,59722.01794
1989,69005.31392
1990,61469.0093
1991,61119.66401
1992,68490.17519
1993,69712.24344
1994,69717.0406
1995,75013.3694
1996,73855.4768
1997,82563.68237
1998,74731.64188
1999,59243.37632
2000,60552.07905
2001,49711.95677
2002,57192.69195
2003,55091.98383
2004,51538.53849
2005,50801.701
2006,50074.79857
2007,52996.21519
2008,65773.65027
2009,40128.63762
