years,data
1960,705.2
1961,655.32
1962,608.88
1963,562.44
1964,516.0
1965,468.7
1966,437.74
1967,405.92
1968,376.68
1969,348.3
1970,321.64
1971,317.34
1972,316.48
1973,314.76
1974,339.7
1975,378.4
1976,412.8
1977,446.34
1978,437.74
1979,460.1
1980,646.85198
1981,677.60408
1982,1300.99533
1983,752.49376
1984,1280.18839
1985,1318.72696
1986,1201.21664
1987,1506.55107
1988,1607.80432
1989,1625.4725
1990,1106.96511
1991,1160.47651
1992,1217.54913
1993,724.9972
1994,688.17092
1995,688.17092
1996,714.63904
1997,543.098
1998,482.61846
1999,508.01943
2000,546.12089
2001,587.815
2002,596.66941
2003,628.07306
2004,643.77489
2005,915.173
2006,833.02946
2007,918.46838
2008,961.18784
2009,918.46838
