years,data
1970,3958.68079
1971,3905.75725
1972,3895.17254
1973,3874.00313
1974,4180.95966
1975,4657.27152
1976,5080.65984
1977,5493.46345
1978,5387.61637
1979,5662.81878
1980,7961.3248
1981,8339.8155
1982,16012.39032
1983,9261.5427
1984,15756.30267
1985,16230.62768
1986,14784.33416
1987,18542.32926
1988,19788.53401
1989,20005.99044
1990,13482.83504
1991,14134.60389
1992,14829.7484
1993,8830.4659
1994,8381.92181
1995,8381.92181
1996,8704.30351
1997,6614.93364
1998,5878.29284
1999,6187.67666
2000,6651.75244
2001,7159.5867
2002,7267.43341
2003,7649.92987
2004,7841.17816
2005,11146.80714
2006,10146.29882
2007,11186.94487
2008,11707.26789
2009,11186.94487
