years,data
1970,0.70505
1971,0.74394
1972,0.74707
1973,0.85791
1974,1.32867
1975,1.39488
1976,1.49382
1977,1.69114
1978,1.78724
1979,2.56515
1980,3.56876
1981,4.39072
1982,4.26174
1983,4.12692
1984,4.19734
1985,4.03599
1986,3.23582
1987,3.08258
1988,3.11518
1989,3.41709
1990,3.5028
1991,3.35915
1992,3.07128
1993,2.97182
1994,2.87
1995,2.83308
1996,3.19048
1997,3.20425
1998,2.73323
1999,2.73283
2000,4.11912
2001,3.98078
2002,3.48673
2003,3.69376
2004,4.25114
2005,5.90002
2006,6.3374
2007,6.907
2008,8.56864
2009,6.36802
