years,data
1960,23925.2
1961,25524.8
1962,26866.4
1963,26247.2
1964,28620.8
1965,30736.4
1966,33901.2
1967,34640.8
1968,40420.0
1969,42931.2
1970,44634.0
1971,43791.2
1972,51445.2
1973,52976.0
1974,51737.6
1975,47179.6
1976,55452.8
1977,60268.8
1978,66340.4
1979,67011.2
1980,41570.89287
1981,43875.94692
1982,42446.29793
1983,47943.91861
1984,48912.52041
1985,48706.40672
1986,61753.64721
1987,60767.38705
1988,62830.22054
1989,72646.13477
1990,68112.90611
1991,67346.27117
1992,75460.5605
1993,78126.70278
1994,78311.96997
1995,83388.92797
1996,81908.93216
1997,89140.60551
1998,81582.42735
1999,65721.37994
2000,67984.91376
2001,55870.94091
2002,64973.91866
2003,60126.80767
2004,56510.33591
2005,55803.54427
2006,55559.84568
2007,58912.59902
2008,71677.60148
2009,45822.27432
