years,data
1960,38296.32121
1961,38880.11404
1962,39275.11374
1963,37708.94855
1964,39136.42295
1965,40287.76829
1966,42821.81562
1967,42914.93325
1968,48097.63948
1969,50029.12416
1970,51187.72041
1971,50257.49205
1972,57894.62667
1973,59390.45623
1974,58660.12747
1975,54891.10835
1976,63864.76829
1977,69365.07288
1978,75261.80127
1979,76387.76192
1980,54828.99195
1981,57753.85056
1982,69055.56213
1983,63335.13119
1984,75090.78312
1985,75707.66764
1986,86483.04195
1987,91923.16285
1988,96117.07042
1989,107833.9209
1990,92716.82086
1991,93126.75923
1992,102520.7689
1993,94664.40539
1994,94043.35471
1995,99081.86107
1996,98270.35908
1997,101902.3125
1998,92935.84258
1999,77675.52949
2000,80824.98779
2001,69792.83094
2002,79172.86011
2003,75468.90444
2004,71928.87072
2005,77414.48141
2006,75383.7235
2007,80665.23624
2008,94444.86432
2009,67699.71032
