years,data
1960,60.9778
1961,60.31828
1962,54.47881
1963,52.33539
1964,49.40878
1965,52.63766
1966,66.5642
1967,65.71474
1968,74.07349
1969,77.94705
1970,78.26985
1971,163.85087
1972,168.87754
1973,216.70901
1974,212.33798
1975,189.70234
1976,195.64102
1977,163.52247
1978,168.51386
1979,165.04159
1980,161.24379
1981,467.7958
1982,365.79201
1983,397.70818
1984,393.86971
1985,403.03939
1986,392.73238
1987,420.17034
1988,435.80855
1989,429.55327
1990,427.49186
1991,347.3082
1992,368.38539
1993,395.75836
1994,401.28769
1995,401.34244
1996,503.77986
1997,452.82295
1998,438.60775
1999,387.5362
2000,342.48318
2001,377.66131
2002,334.33067
2003,322.5917
2004,319.65695
2005,325.98679
2006,310.65465
2007,260.06307
2008,227.43183
2009,145.19585
